CERN - 2018-02-22 11:04:06	subject Field	concept definition	concept source	Concept create by user	Concept create date	Concept modified by user	Concept modified date	Lang	Term Status	Term Form	Term definition	Term create by user	Term create date	Term modified by user	Term modified date
_387	Accelerator technology			Natalie Garde	2008-01-07	Suzanne Curcu	2010-01-29	EN-GB	p	quench		Natalie Garde	2008-01-07	Natalie Garde	2008-01-07
_387	Accelerator technology			Natalie Garde	2008-01-07	Suzanne Curcu	2010-01-29	FR	p	transition résistive		Natalie Garde	2008-01-07	Natalie Garde	2008-01-07
_387	Accelerator technology			Natalie Garde	2008-01-07	Suzanne Curcu	2010-01-29	FR	p	quench	Passage accidentel de l'état supraconducteur à l'état normal de tout ou partie du bobinage. Clefs CEA, N° 56, 2007-2008, Les aimants supraconducteurs au service du LHC	Natalie Garde	2008-01-07	Natalie Garde	2008-01-07
_388	Accelerator technology			Natalie Garde	2008-01-10	Natalie Garde	2008-01-10	EN-GB	p	shrinking		Natalie Garde	2008-01-10	Natalie Garde	2008-01-10
_388	Accelerator technology			Natalie Garde	2008-01-10	Natalie Garde	2008-01-10	FR	p	rétreint thermique	diminution des dimensions d'un matériau lorsque sa température décroît. Les aimants supraconducteurs au service du LHC, Clefs CEA, n° 56, 2007-2008.	Natalie Garde	2008-01-10	Natalie Garde	2008-01-10
_389	Finance			Natalie Garde	2008-01-10	Natalie Garde	2009-01-13	EN-GB	p	best-value-for-money		Natalie Garde	2008-01-10	Natalie Garde	2009-01-23
_389	Finance			Natalie Garde	2008-01-10	Natalie Garde	2009-01-13	FR	p	au mieux-disant		Natalie Garde	2008-01-10	Natalie Garde	2009-01-22
_390	Accelerator technology			Natalie Garde	2008-01-10	Suzanne Curcu	2010-01-29	EN-GB	p	cold mass	Core of the cryodipole which contains all the components cooled by superfluid helium and that, during operation, has the same temperature as the superconducting cable, inside the shrinking cylinder. According to LHC Design Report, vol. 1, CERN, 2004, chap. 7, p. 8 and The Large Hadron Collider: a marvel of technology, EPFL-Press, 2009, p. 76	Natalie Garde	2008-01-10	Suzanne Curcu	2010-01-20
_390	Accelerator technology			Natalie Garde	2008-01-10	Suzanne Curcu	2010-01-29	FR	p	masse froide	Ensemble des éléments refroidis à 1,9 kelvins avec de l'hélium superfluide et qui est monté dans un cryostat sous vide. D'après LHC étude d'impact sur l'environnement, 1997, p. 46, http://cernenviro.web.cern.ch/cernenviro/docenviro_img/4aspect/_images_aspect/image_et_pdf_etude_impact/etude_impact.pdf	Natalie Garde	2008-01-10	Natalie Garde	2008-01-10
_391	Accelerator technology			Natalie Garde	2008-01-10	Suzanne Curcu	2010-01-29	EN-GB	p	CMS		Natalie Garde	2008-01-10	Natalie Garde	2008-01-10
_391	Accelerator technology			Natalie Garde	2008-01-10	Suzanne Curcu	2010-01-29	EN-GB	p	Compact Muon Solenoid		Natalie Garde	2008-01-10	Natalie Garde	2008-01-10
_391	Accelerator technology			Natalie Garde	2008-01-10	Suzanne Curcu	2010-01-29	FR	p	CMS		Natalie Garde	2008-01-10	Natalie Garde	2008-01-10
_393	Finance			Mathilde Fontanet	2008-01-12	Mathilde Fontanet	2008-01-12	EN-GB	p	generic expenditure		Mathilde Fontanet	2008-01-12	Mathilde Fontanet	2008-01-12
_393	Finance			Mathilde Fontanet	2008-01-12	Mathilde Fontanet	2008-01-12	FR	p	dépenses communes		Mathilde Fontanet	2008-01-12	Mathilde Fontanet	2008-01-12
_394	Finance			Mathilde Fontanet	2008-01-12	Mathilde Fontanet	2008-01-12	EN-GB	p	generic engineering support		Mathilde Fontanet	2008-01-12	Mathilde Fontanet	2008-01-12
_394	Finance			Mathilde Fontanet	2008-01-12	Mathilde Fontanet	2008-01-12	FR	p	appui technique commun		Mathilde Fontanet	2008-01-12	Mathilde Fontanet	2008-01-12
_395	Bodies/organisations			Natalie Garde	2009-01-15	Odile Martin	2013-01-09	EN-GB	p	Collaboration Board		Natalie Garde	2009-01-15	Odile Martin	2013-01-09
_395	Bodies/organisations			Natalie Garde	2009-01-15	Odile Martin	2013-01-09	FR	p	comité de collaboration		Natalie Garde	2009-01-15	Natalie Garde	2009-01-15
_396	Accelerator technology			Odile Martin	2009-01-15	Odile Martin	2013-01-09	EN-GB	p	cold test		Odile Martin	2009-01-15	Odile Martin	2009-01-15
_396	Accelerator technology			Odile Martin	2009-01-15	Odile Martin	2013-01-09	EN-GB	p	cold testing		Odile Martin	2009-01-15	Odile Martin	2009-01-15
_396	Accelerator technology			Odile Martin	2009-01-15	Odile Martin	2013-01-09	FR	p	test à froid		Odile Martin	2009-01-15	Odile Martin	2009-01-15
_397	Finance			Natalie Garde	2009-01-22	Natalie Garde	2009-01-13	EN-GB	p	lowest compliant		Natalie Garde	2009-01-23	Natalie Garde	2009-01-23
_397	Finance			Natalie Garde	2009-01-22	Natalie Garde	2009-01-13	FR	p	au moins-disant					
_398	Bodies/organisations			Odile Martin	2009-01-22	Odile Martin	2010-01-21	EN-GB	p	Beams Department		Odile Martin	2009-01-22	Odile Martin	2009-01-22
_398	Bodies/organisations			Odile Martin	2009-01-22	Odile Martin	2010-01-21	EN-GB	p	BE department		Odile Martin	2009-01-22	Odile Martin	2009-01-22
_398	Bodies/organisations			Odile Martin	2009-01-22	Odile Martin	2010-01-21	FR	p	département Faisceaux		Odile Martin	2009-01-22	Odile Martin	2009-01-22
_398	Bodies/organisations			Odile Martin	2009-01-22	Odile Martin	2010-01-21	FR	p	département BE		Odile Martin	2009-01-22	Odile Martin	2009-01-22
_399	Accelerator technology			Natalie Garde	2009-01-22	Odile Martin	2013-01-09	EN-GB	p	combiner ring		Natalie Garde	2009-01-22	Natalie Garde	2009-01-22
_399	Accelerator technology			Natalie Garde	2009-01-22	Odile Martin	2013-01-09	FR	p	anneau de recombinaison		Natalie Garde	2009-01-22	Natalie Garde	2009-01-22
_399	Accelerator technology			Natalie Garde	2009-01-22	Odile Martin	2013-01-09	FR	p	anneau de combinaison		Natalie Garde	2009-01-23	Natalie Garde	2009-01-23
_400	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	Finance and Procurement Department		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_400	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	FP Department		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_400	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	Département des finances et des achats		Odile Martin	2009-01-23	Odile Martin	2010-01-21
_400	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	département Finances et achats		Odile Martin	2009-01-23	Odile Martin	2010-01-21
_400	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	département FP		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_401	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	Technology Department		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_401	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	TE Department		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_401	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	département Technologie		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_401	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	département TE		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_402	Accelerator technology			Natalie Garde	2009-01-23	Odile Martin	2013-01-09	EN-GB	p	delay loop		Natalie Garde	2009-01-23	Natalie Garde	2009-01-23
_402	Accelerator technology			Natalie Garde	2009-01-23	Odile Martin	2013-01-09	FR	p	boucle de retard		Natalie Garde	2009-01-23	Natalie Garde	2009-01-23
_403	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	Engineering Department		Odile Martin	2009-01-23	Odile Martin	2010-01-21
_403	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	EN Department		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_403	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	département Ingénierie		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_403	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	département EN		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_404	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	General Infrastructure Services Department		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_404	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	GS Department		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_404	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	GI Department		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_404	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	département Services généraux d'infrastructure		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_404	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	département Infrastructure et Services généraux		Odile Martin	2009-01-23	Odile Martin	2009-01-26
